"0","Serious inside else","261.62","false","Toys","Group through despite cause cause believe son.","-1"
"1","Work special total","158.12","true","Toys","Nice government first policy daughter need kind.","-1"
"2","Employee source nature","7.11","false","Home","Partner stock four.","-1"
"3","Region as true","113.30","true","Toys","Before year themselves your majority feeling fact.","-1"
"4","Natural sport","276.26","false","Clothing","Something first drug contain start almost wonder employee.","-1"
"5","Bed serious","448.19","true","Toys","Raise study modern miss dog Democrat quickly.","-1"
"6","Often late produce","358.45","true","Food","Main picture suddenly drug.","-1"
"7","Bring determine","406.21","false","Clothing","Situation talk despite stage.","-1"
"8","Own available buy","96.77","true","Clothing","Street break painting create wife responsibility.","-1"
"9","Decision song view","11.69","false","Health","Attorney author feeling job article.","-1"
"10","Always beyond write","102.33","false","Home","College pull whom around put suddenly garden.","-1"
"11","Bring TV","340.22","true","Clothing","Themselves true power home price check real.","-1"
"12","Score from animal","143.17","true","Toys","Particular pull opportunity throughout take car.","-1"
"13","Hold increase","333.10","true","Health","Civil development large report purpose themselves.","-1"
"14","Interest","446.89","false","Toys","Knowledge else citizen month.","-1"
"15","Traditional page a","19.63","false","Food","Speak themselves speech.","-1"
"16","Nature white","42.92","true","Beauty","First degree response able state more.","-1"
"17","Couple part","101.38","false","Home","Little type physical against.","-1"
"18","Son break either","334.66","false","Beauty","Surface amount day employee fire.","-1"
"19","Voice travel among","383.89","false","Home","Head Mrs debate onto across character.","-1"
"20","Front happen behavior","399.79","true","Beauty","Change on guess writer.","-1"
"21","Fall long","122.06","false","Books","Few structure federal board.","-1"
"22","Training listen subject","499.43","true","Clothing","Interview few same thus turn phone heart.","-1"
"23","Assume be","383.28","true","Clothing","Hour million large major.","-1"
"24","Research describe base detail","133.74","true","Clothing","Boy state table agree moment sell.","-1"
"25","Budget huge","106.82","true","Toys","Chair cup her national character writer work chance.","-1"
"26","Point institution miss","347.41","false","Clothing","Particular despite future while together stand along.","-1"
"27","Themselves owner","79.48","false","Home","Son might trip at.","-1"
"28","American address","432.57","false","Toys","Than leave he him.","-1"
"29","Maybe off question","412.66","true","Home","Face top individual win suddenly.","-1"
"30","Parent do ten","10.84","true","Home","Medical effort assume teacher wall.","-1"
"31","Significant his","196.07","true","Home","Expert stop area along individual.","-1"
"32","Three own bank","357.19","false","Clothing","Letter learn big sing after our car food.","-1"
"33","Power crime situation","398.62","true","Beauty","Pass value practice wide require fast support.","-1"
"34","Son true their","348.15","true","Beauty","He couple ground place what top.","-1"
"35","Mention","130.03","true","Books","Single recognize information figure box international not type.","-1"
"36","Indeed between","396.19","true","Toys","Rather air try while reveal bad.","-1"
"37","Building reality","176.44","true","Beauty","Audience throw debate daughter purpose voice.","-1"
"38","Security fall","353.03","true","Toys","Law live religious election.","-1"
"39","Detail","185.42","false","Food","Player contain year bill ok choose today.","-1"
"40","Source firm","124.30","true","Food","Production technology over hour reduce car.","-1"
"41","Nearly scientist","72.75","false","Food","Easy plan PM more.","-1"
"42","Impact individual rock","164.56","true","Food","Before control board born painting child reflect.","-1"
"43","Control instead company","491.58","false","Health","Leg PM low data ability recognize.","-1"
"44","Left despite boy without","154.69","true","Clothing","Question set discussion seven.","-1"
"45","Place again","138.85","true","Beauty","Moment ok how bill education exist.","-1"
"46","Other along","405.33","false","Health","Morning eat turn clear.","-1"
"47","Team executive care","267.80","true","Health","Western myself scientist tough everything kind.","-1"
"48","Pick church recent","195.51","false","Books","Government line indeed live reason.","-1"
"49","Manage when know","73.95","false","Beauty","Agent likely thousand act money.","-1"
"50","Rather bank","486.94","false","Beauty","Break about establish.","-1"
"51","Road dinner","384.73","false","Books","Leave form collection instead today itself.","-1"
"52","Value challenge firm","106.23","false","Food","Southern hope detail cultural vote only.","-1"
"53","Western","198.04","true","Home","Hair sea quality do.","-1"
"54","Partner relate","262.96","false","Toys","Learn place might what western upon.","-1"
"55","Ok majority region","110.43","false","Beauty","Clear about pressure.","-1"
"56","As into","113.77","false","Health","Cover part paper beat five movie throw.","-1"
"57","Agreement and","188.10","true","Toys","Could cut pull save fine team.","-1"
"58","Lot the","122.05","false","Health","Leave right answer.","-1"
"59","Without leave brother","41.30","true","Toys","This degree partner stand next though.","-1"
"60","Always Congress majority","65.35","false","Food","News experience must cut.","-1"
"61","Since method","236.68","false","Food","Budget situation between.","-1"
"62","Eat expect save","337.00","false","Toys","His evening wife north.","-1"
"63","Push region","338.36","true","Home","Million push do pick.","-1"
"64","Old case","7.70","false","Food","Speech theory choice.","-1"
"65","Member baby","391.26","false","Health","Run staff service government opportunity.","-1"
"66","Material truth pattern ago","305.45","false","Clothing","When new clear.","-1"
"67","Speak say national","360.10","false","Books","Region start size himself arrive although.","-1"
"68","Gas kid","371.84","true","Food","Figure ground much run.","-1"
"69","Government make","31.03","true","Beauty","Watch force start general professional.","-1"
"70","Throughout describe","222.18","false","Food","Road size impact act through move.","-1"
"71","Service north but","488.49","true","Beauty","Perform product style record.","-1"
"72","Form style","420.22","true","Beauty","Collection bad until our per leader change.","-1"
"73","Always future scene heavy","320.04","false","Beauty","Public leader medical class send.","-1"
"74","Establish manage hotel","159.67","false","Health","Significant now energy.","-1"
"75","Lose","202.92","true","Clothing","Anything event yet effect quite reflect upon.","-1"
"76","Several might","197.32","true","Beauty","Source wall drug purpose mouth then.","-1"
"77","Trouble tonight","169.95","true","Health","Choose general fact fall manager idea issue.","-1"
"78","A cell","22.56","true","Food","Travel professional production election partner audience very.","-1"
"79","Wear community","86.08","true","Health","Place myself his itself find add sing.","-1"
"80","Watch Mrs","283.40","false","Books","Suddenly seek choice produce.","-1"
"81","His less already","467.52","true","Beauty","Word citizen create great record affect same.","-1"
"82","Through ever war","474.53","true","Health","Season last meeting southern relate.","-1"
"83","Clearly type","475.54","false","Food","Think similar particular before air action.","-1"
"84","Dark huge","223.99","false","Home","Let stop camera report foreign agency list miss.","-1"
"85","Beat","289.44","false","Beauty","Response provide likely fire subject.","-1"
"86","Forward","201.16","false","Clothing","Challenge term memory clear throughout treat relate respond.","-1"
"87","Show","421.66","true","Toys","Hold conference son spend ball company enter son.","-1"
"88","Red effect else","478.58","true","Toys","Check plan computer mention time firm water.","-1"
"89","Possible lead","122.58","true","Home","Live new myself star.","-1"
"90","Able simple billion","311.45","false","Food","Gun subject PM carry understand consumer by.","-1"
"91","Though cover including","31.89","false","Toys","Over some collection.","-1"
"92","Impact key","309.79","false","Home","Support law Congress law enough we ask.","-1"
"93","But go","90.51","true","Food","Second reason live teach movie I situation.","-1"
"94","Agree middle","428.10","false","Food","Why child might source where a front.","-1"
"95","Receive civil single","81.81","true","Health","Lot thousand question.","-1"
"96","Draw","123.81","false","Food","Goal clear inside guy north.","-1"
"97","North add us","2.87","false","Home","Affect station member although.","-1"
"98","Of challenge","78.86","false","Toys","Job trial four easy case member.","-1"
"99","Hundred candidate not","179.12","false","Clothing","High trouble drive loss turn attorney education.","-1"
"100","Those head","11.77","false","Books","Particularly test hospital.","-1"
"101","Blood there any require","13.98","false","Home","Under require page claim future in.","-1"
"102","Truth ten seven both","188.44","true","Home","Picture send cultural whatever computer on fast.","-1"
"103","Film","282.55","true","Home","Heart decade care book ground.","-1"
"104","Law","295.50","false","Beauty","Nation network college debate direction moment.","-1"
"105","Ground think save","366.42","true","Toys","Tonight garden maybe forward reason.","-1"
"106","Worker season figure","450.48","false","Clothing","Fill improve image best win challenge on.","-1"
"107","Blood single recently","305.82","true","Food","Heart soldier action throughout.","-1"
"108","Five put hard","356.32","false","Toys","No still back task.","-1"
"109","Ago poor","85.66","false","Health","Remain if again care hold those.","-1"
"110","Approach heart sort","329.75","false","Food","Them although per environmental medical nearly hour.","-1"
"111","Congress must","81.38","true","Clothing","Long not improve begin.","-1"
"112","Director book cell","415.12","true","Home","Only cup almost identify.","-1"
"113","Make real use nice","447.99","false","Toys","Drop marriage worker.","-1"
"114","Different many","484.65","false","Beauty","Off difficult happen high serve.","-1"
"115","Explain current","397.61","false","Food","Can sing husband matter likely prevent hear trouble.","-1"
"116","Everyone win should","365.36","true","Clothing","Land general during cost.","-1"
"117","Material body himself","199.59","false","Health","Put maybe main fire range.","-1"
"118","Line hour","486.29","false","Beauty","Image enjoy rise.","-1"
"119","Both something","186.03","true","Beauty","Movement can start paper tree bank.","-1"
